Station Name,Longitude,Latitude,Climate ID,Province,Year,Month,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,province
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,9,14.6,2.0,,27.9,2.0,2.4,0.0,,,,167.0,3.0,,,12.0,,,,105.1,8.9,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,10,6.8,0.0,,21.0,0.0,-3.4,0.0,,,,75.4,1.0,,,10.0,,,,348.0,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,11,1.1,2.0,,16.0,2.0,-9.8,0.0,,,,228.0,1.0,,,15.0,,,,471.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2002,12,-3.9,0.0,,11.6,0.0,-19.1,0.0,,,,73.8,1.0,,,6.0,,,,679.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,1,-10.1,0.0,,3.7,0.0,-22.2,0.0,,,,38.4,0.0,,,6.0,,,,870.7,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,2,-9.6,1.0,,6.0,1.0,-30.5,1.0,,,,52.2,2.0,,,7.0,,,,744.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,3,-3.8,0.0,,9.7,0.0,-19.5,0.0,,,,177.2,0.0,,,11.0,,,,674.6,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,4,2.1,2.0,,17.7,2.0,-11.1,2.0,,,,83.0,7.0,,,7.0,,,,444.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,5,9.2,4.0,,22.9,4.0,-0.5,2.0,,,,51.6,6.0,,,7.0,,,,238.8,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,6,14.9,2.0,,27.6,2.0,5.0,1.0,,,,44.4,10.0,,,5.0,,,,95.3,7.3,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,7,18.6,8.0,,28.1,8.0,10.4,5.0,,,,110.2,7.0,,,8.0,,,,6.1,19.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,8,19.1,7.0,,27.7,4.0,7.9,6.0,,,,81.4,7.0,,,8.0,,,,17.3,42.9,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,9,16.0,5.0,,26.4,5.0,5.5,3.0,,,,29.0,5.0,,,4.0,,,,60.6,9.6,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,10,9.4,2.0,,22.2,2.0,0.0,0.0,,,,121.6,4.0,,,14.0,,,,250.5,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,11,4.0,0.0,,18.2,0.0,-5.5,0.0,,,,50.2,1.0,,,7.0,,,,419.4,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2003,12,-2.0,1.0,,13.3,1.0,-14.2,0.0,,,,78.4,1.0,,,8.0,,,,598.6,0.0,NS
